Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""Olivia_Default/Delete User""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.64,,,2022-05-30 17:52:33,2022-05-30 17:52:34,0.985s,PASSED
closeBrowser(),Chrome 101.0.4951.64,,,2022-05-30 17:52:34,2022-05-30 17:52:34,0.070s,PASSED
,,,,,,,
Test Cases/Olivia_Dynamic/Users Feed/TC001 - Add new user with any role,Chrome 101.0.4951.64,,,2022-05-30 17:52:34,2022-05-30 17:53:06,31.594s,PASSED
"callTestCase(findTestCase(""Olivia_Default/Login""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.64,,,2022-05-30 17:52:34,2022-05-30 17:52:40,5.341s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/div_Menu""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:40,2022-05-30 17:52:44,3.939s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/i_Menu_icon icon-settings""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:44,2022-05-30 17:52:44,0.865s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Inbox  Candidate Experience Manager/div_Users""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:44,2022-05-30 17:52:47,2.830s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/i_Users_icon-plus""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:47,2022-05-30 17:52:50,2.283s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/strong_Full User""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:50,2022-05-30 17:52:50,0.661s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/button_Continue""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:50,2022-05-30 17:52:50,0.258s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Company Admin  Full User - Edit Ever_daeaff""), role, true)",Chrome 101.0.4951.64,,,2022-05-30 17:52:50,2022-05-30 17:52:53,2.094s,PASSED
"if (waitForElementVisible(findTestObject(""Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Job title_job_title""), 3))",Chrome 101.0.4951.64,,,2022-05-30 17:52:53,2022-05-30 17:52:54,1.041s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_First name_fname""), firstname)",Chrome 101.0.4951.64,,,2022-05-30 17:52:54,2022-05-30 17:52:54,0.488s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Last name_lname""), lastname)",Chrome 101.0.4951.64,,,2022-05-30 17:52:54,2022-05-30 17:52:55,0.475s,PASSED
"setText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Email_email""), email)",Chrome 101.0.4951.64,,,2022-05-30 17:52:55,2022-05-30 17:52:55,0.511s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Select a country  United States  Can_7bdac2""), country, true)",Chrome 101.0.4951.64,,,2022-05-30 17:52:55,2022-05-30 17:52:57,1.475s,PASSED
"click(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/button_Save""))",Chrome 101.0.4951.64,,,2022-05-30 17:52:57,2022-05-30 17:52:57,0.262s,PASSED
"verifyElementText(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/strong_Selected card""), fullname)",Chrome 101.0.4951.64,,,2022-05-30 17:52:57,2022-05-30 17:53:03,6.636s,PASSED
"verifyOptionSelectedByValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/select_Company Admin  Full User - Edit Ever_daeaff""), role, true, 10)",Chrome 101.0.4951.64,,,2022-05-30 17:53:03,2022-05-30 17:53:04,0.919s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_First name_fname""), ""value"", firstname, 0)",Chrome 101.0.4951.64,,,2022-05-30 17:53:04,2022-05-30 17:53:05,0.232s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Olivia_Default_ObjectPage/Page_Users  Candidate Experience Manager/input_Last name_lname""), ""value"", lastname, 0)",Chrome 101.0.4951.64,,,2022-05-30 17:53:05,2022-05-30 17:53:05,0.234s,PASSED
"callTestCase(findTestCase(""Olivia_Default/Delete User""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.64,,,2022-05-30 17:53:05,2022-05-30 17:53:06,0.978s,PASSED
closeBrowser(),Chrome 101.0.4951.64,,,2022-05-30 17:53:06,2022-05-30 17:53:06,0.069s,PASSED
